timestamp,segment,rf_power_mean,rf_power_var,cmd_rate,cmd_invalid_ratio,mode_change_flag,bit_error_rate,link_status,attitude_error,thermal_drift,payload_data_integrity,anomaly_score,label
0,space,1.2369304168724116,0.7736900246531511,3,0.04993377693462099,1,0.004458327528535912,nominal,0.09202417491714628,0.050444436532239664,0.8799721943430512,0.013999698964084628,benign
1,ground,0.7861035431983273,0.3741050078151498,3,0.42373205811362863,0,0.005142344384136116,nominal,2.4737199105233194,0.3978447805324402,0.2971061460667621,0.42063311266913106,ground_segment_compromise
2,link,0.9191223068012395,0.5417727190009511,7,0.043473068496287584,1,0.005467102793432797,nominal,1.8494481522053556,0.45393612290402124,0.16856070581242846,0.7256176498949491,payload_data_manipulation
3,ground,1.5285611131094579,0.49129263950530044,1,0.011860196958790734,0,0.003948815181755697,nominal,0.1349220129605481,0.05347204127329609,0.9302154051003889,0.2744879026631342,benign
4,link,1.7344706427161962,0.2752203330919927,16,0.5420608820686481,1,0.013318447132349934,nominal,2.392104093826969,0.43851242405826896,0.2636019011194621,0.5210315214012378,unauthorized_command
5,space,1.1664462202444648,0.6807064981251685,14,0.285960908033952,0,0.004985844582977499,nominal,1.7865656029801387,0.5501448331524805,0.5228763541126306,0.8822032461394687,unauthorized_command
6,link,1.5790933264660139,0.3451914138506992,3,0.02343797068071358,0,0.003562978380769749,degraded,0.0345024656393763,0.10887326832962568,0.9384872065780541,0.08082370013955643,benign
7,ground,1.9430929506052652,0.5349155625663677,6,0.052758610778364086,0,0.00363629602379294,nominal,0.10019686522157015,0.03850581584773201,0.8978905520555126,0.2956951362331802,benign
8,ground,0.7892508898300582,0.6582063894086094,5,0.012814222258487874,0,0.0036778313271925325,degraded,0.02246682844669337,0.05137125949612055,0.92903455808189,0.05230992870149743,benign
9,ground,9.223471202046772,4.114487626171151,8,0.05067056530192805,0,0.06702102818608836,lost,2.1252464251729384,0.5346448209496976,0.3852189876925726,0.4504839789970293,uplink_jamming
10,link,0.07509853141788425,0.7337262486901067,6,0.001270558249394756,0,0.009401334424577785,nominal,0.09873561872144361,0.03080210735772188,0.9085080461109799,0.152644223051628,benign
11,link,12.2098564369003,4.922898290585896,7,0.4416372220890783,0,0.18380698327656703,nominal,2.2412362076215926,0.4776537214674149,0.009273969917320457,0.9569911375526352,uplink_jamming
12,space,1.357000247046046,0.31009619096422836,5,0.013491184746464815,0,0.0026847485689015685,nominal,0.057237974056009465,0.02945876482128806,0.8645101528477201,0.25460093847740234,benign
13,link,1.4525609799782795,0.3792191255030943,10,0.005579046114409759,0,0.008101133946791808,nominal,0.10409370696931614,0.06372520380749028,0.8061000499878099,0.011204456624764325,benign
14,link,0.19364206440517417,0.6932784003944834,25,0.21832217258606848,1,0.005430858316394838,nominal,1.3543919434319087,0.3692085700330625,0.4464255857994692,0.5505163164079967,unauthorized_command
15,link,0.0047002252113180765,0.34563618444864896,5,0.09964813484418612,0,0.0017329432007084577,degraded,0.033658411693205145,0.08687431595503692,0.8495461979002316,0.10679180359537847,benign
